Rowid,TIME,FREQUENCY,AVERAGE_WIDTH
1,1,50,0.106354
2,10,52,0.102963462
3,20,53,0.10130566
4,30,53,0.101601887
5,40,54,0.100346296
6,50,56,0.09674125
7,60,56,0.097807143
8,70,54,0.102731481
9,80,55,0.101352727
10,90,53,0.104754717
11,100,52,0.107544231
12,110,58,0.099924138
13,120,56,0.112153571
14,130,57,0.112229825
15,140,54,0.12025
16,150,57,0.115903509
17,160,54,0.122974444
18,170,54,0.122661296
19,180,56,0.1189575
20,190,55,0.122151273
21,200,60,0.111515167
22,210,55,0.121461818
23,220,58,0.115118966
24,230,57,0.116838772
25,240,54,0.123162963
26,250,59,0.112888136
27,260,60,0.110321667
28,270,55,0.121187455
29,280,56,0.119864643
30,290,56,0.120283929
31,300,55,0.122462
32,310,57,0.118845614
33,320,59,0.115423729
34,330,55,0.124863636
35,340,57,0.121480702
36,350,55,0.125433091
37,360,55,0.12558
38,370,60,0.113971667
39,380,59,0.117569661
40,390,53,0.130843396
41,400,61,0.114583607
42,410,53,0.133871698
43,420,54,0.132012963
44,430,56,0.12735375
45,440,57,0.124238772
46,450,56,0.129092857
47,460,57,0.126901754
48,470,56,0.1291875
49,480,55,0.132612727
50,490,56,0.131042857
51,500,54,0.134337037
52,510,54,0.134638889
53,520,55,0.131847273
54,530,57,0.128463158
55,540,52,0.141246154
56,550,51,0.14655098
57,560,56,0.137214286
58,570,54,0.14277963
59,580,56,0.137710893
60,590,57,0.13557193
61,600,59,0.130751017
62,610,63,0.123289683
63,620,55,0.141202
64,630,57,0.136678947
65,640,54,0.145105556
66,650,54,0.144953704
67,660,56,0.140728571
68,670,60,0.132201667
69,680,58,0.137737931
70,690,57,0.140115789
71,700,55,0.144616364
72,710,54,0.14782963
73,720,55,0.147349091
74,730,55,0.146798182
75,740,60,0.135783333
76,750,58,0.142562069
77,760,59,0.140417119
78,770,61,0.137224754
79,780,59,0.141498475
80,790,59,0.141940847
81,800,62,0.137790323
82,810,58,0.145965517
83,820,59,0.144522373
84,830,61,0.14054918
85,840,60,0.144066667
86,850,56,0.1554
87,860,57,0.151929825
88,870,63,0.137912698
89,880,59,0.148744407
90,890,59,0.149145763
91,900,61,0.144443115
92,910,57,0.156051053
93,920,58,0.153272414
94,930,61,0.145904918
95,940,61,0.145816393
96,950,62,0.14211129
97,960,55,0.163722
98,970,57,0.158536842
99,980,59,0.152937288
100,990,59,0.152979661
101,1000,59,0.153879661
102,1010,64,0.141535938
103,1020,62,0.147370968
104,1030,59,0.156186441
105,1040,65,0.143878462
106,1050,60,0.156231833
107,1060,63,0.150293651
108,1070,62,0.152446774
109,1080,60,0.159741667
110,1090,63,0.151912698
111,1100,63,0.152725397
112,1110,62,0.154870968
113,1120,61,0.155395082
114,1130,60,0.159548333
115,1140,59,0.164776271
116,1150,59,0.164813559
117,1160,57,0.170180702
118,1170,59,0.163167966
119,1180,61,0.158547541
120,1190,60,0.163848333
121,1200,57,0.173192982
122,1210,61,0.163808197
123,1220,63,0.15905873
124,1230,61,0.164331148
125,1240,61,0.163368852
126,1250,60,0.167615
127,1260,62,0.162835484
128,1270,57,0.177773684
129,1280,61,0.166385246
130,1290,60,0.17037
131,1300,58,0.177031207
132,1310,59,0.175213559
133,1320,58,0.177948448
134,1330,61,0.169462295
135,1340,60,0.172598333
136,1350,58,0.179298276
137,1360,56,0.185901786
138,1370,59,0.17809
139,1380,54,0.193711481
140,1390,58,0.182222759
141,1400,58,0.182648276
142,1410,57,0.186631579
143,1420,59,0.178123898
144,1430,59,0.178057797
145,1440,59,0.179372881
146,1450,60,0.176171833
147,1460,56,0.188007143
148,1470,58,0.184258793
149,1480,57,0.188017544
150,1490,59,0.18279322
151,1500,57,0.18854386
152,1510,63,0.170861905
153,1520,60,0.179846667
154,1530,58,0.185962069
155,1540,60,0.180331667
156,1550,62,0.175454839
157,1560,61,0.1792
158,1570,62,0.176301774
159,1580,59,0.185469492
160,1590,59,0.184822034
161,1600,57,0.192064912
162,1610,58,0.189539655
163,1620,56,0.197473214
164,1630,60,0.183575
165,1640,60,0.185538333
166,1650,58,0.190025862
167,1660,59,0.188481356
168,1670,57,0.198775439
169,1680,58,0.195396552
170,1690,58,0.196341379
171,1700,61,0.185646066
172,1710,59,0.191959322
173,1720,60,0.189025
174,1730,60,0.189551833
175,1740,60,0.189548667
176,1750,59,0.192808475
177,1760,61,0.186529508
178,1770,60,0.1902985
179,1780,61,0.187036066
180,1790,64,0.178709531
181,1800,65,0.177064615
182,1810,61,0.188427869
183,1820,58,0.198413793
184,1830,61,0.188003279
185,1840,59,0.194649153
186,1850,62,0.186072581
187,1860,64,0.1801
188,1870,60,0.192156667
189,1880,58,0.199506897
190,1890,60,0.193143333
191,1900,58,0.200389655
192,1910,58,0.201005345
193,1920,58,0.200128103
194,1930,60,0.194055333
195,1940,64,0.1832125
196,1950,60,0.199471833
197,1960,61,0.197264098
198,1970,60,0.200031667
199,1980,65,0.183601692
200,1990,64,0.187267344
201,2000,62,0.19379371
202,2010,58,0.208137931
203,2020,59,0.204128983
204,2030,56,0.213810893
205,2040,57,0.210661404
206,2050,57,0.212022982
207,2060,56,0.214742857
208,2070,57,0.211408772
209,2080,59,0.204520339
210,2090,54,0.223648148
211,2100,50,0.24368
